name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2,county,salary,fips
Classroom Teacher K-12 – Summer Learning Academy,Hanley K-8,470014810491,Memphis-Shelby County Schools,Other,School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,802 Rozelle ST,38104,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,,"['Elementary', 'Middle']",Shelby,62654,47157
High School Foreign Language Teacher,,,Cheatham County,Foreign Language: Other,District,https://drive.google.com/file/d/1YgPzOsmX82-wSvC89LJzhsj0J-s-OrSu/view,,,,,,,,Cheatham,54350,47021
High School History Teacher,,,Cheatham County,Social Studies,District,https://drive.google.com/file/d/1YgPzOsmX82-wSvC89LJzhsj0J-s-OrSu/view,,,,,,,,Cheatham,54350,47021
High School Special Education Interventionist,,,Cheatham County,Special Education (General),District,https://drive.google.com/file/d/1YgPzOsmX82-wSvC89LJzhsj0J-s-OrSu/view,,,,,,,,Cheatham,54350,47021
Teacher English Learner ES (2025-2026) - (25002919),Charlotte Park Elementary,470318001274,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,480 Annex Ave,37209,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,510.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 (2025-2026) - (25003276),Charlotte Park Elementary,470318001274,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,480 Annex Ave,37209,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,510.0,['Elementary'],Davidson,70137,47037
Teacher Grade 5 (2025-2026) - (25003363),Hattie Cotton Elementary,470318001279,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1033 West Greenwood Ave,37206,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,249.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 (2025-2026) - (25002079),Gateway Elementary,470318001297,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,1524 Monticello Ave,37115,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,275.0,['Elementary'],Davidson,70137,47037
Teacher Ex Ed Comprehensive - (25001606),Granbery Elementary,470318001308,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Brentwood,5501 Hill Rd,37027,"['1', '2', '3', '4', 'KG']",Public,662.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 (2025-2026) - (25002528),Granbery Elementary,470318001308,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Brentwood,5501 Hill Rd,37027,"['1', '2', '3', '4', 'KG']",Public,662.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten (2025-2026) - (25003331),Old Center Elementary,470318001355,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,1245 Dickerson Pike South,37072,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,361.0,['Elementary'],Davidson,70137,47037
Teacher Exceptional Education Interventionist (2025-2026) - (25003356),Old Center Elementary,470318001355,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,1245 Dickerson Pike South,37072,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,361.0,['Elementary'],Davidson,70137,47037
Teacher Health Physical Education (2025-2026) - (25002519),Hickman Elementary,470318001698,Metro Nashville Public Schools,Health & Physical Education,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,112 Stewarts Ferry Pike,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,438.0,['Elementary'],Davidson,70137,47037
Teacher Ex Ed Comprehensive (2025-2026) - (25002609),Glendale Elementary,470318002054,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,800 Thompson Ave,37204,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,407.0,['Elementary'],Davidson,70137,47037
Teacher Grade 3 (2025-2026) - (25003428),Glendale Elementary,470318002054,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,800 Thompson Ave,37204,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,407.0,['Elementary'],Davidson,70137,47037
3rd Grade Teacher (2025-2026 School Year),Plainview Elementary School,470369002670,Rutherford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Christiana,7182 Otter Pond Way,37037,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,534.0,['Elementary'],Rutherford,63703,47149
SPECIAL EDUCATION TEACHER,Fairview Elementary,470453001803,Williamson County,Special Education (General),School,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,Fairview,2640 Fairview W Blvd,37062,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,497.0,['Elementary'],Williamson,58686,47187
3rd Grade Teacher (2025-2026-Pending Budget Approval),Watertown Elementary,470455001766,Wilson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Watertown,741 West Main St,37184,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,577.0,"['Elementary', 'Middle']",Wilson,57304,47189
K-3 Teacher (2025-2026- Pending Budget Approval),Gladeville Elementary,470455001817,Wilson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Gladeville,8840 Stewarts Ferry Pike,37071,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,702.0,['Elementary'],Wilson,57304,47189
3rd Grade Teacher (2025-2026- Pending Budget Approval),Tuckers Crossroads Elementary,470455001824,Wilson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Lebanon,5905 Trousdale Ferry Pike,37087,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,381.0,"['Elementary', 'Middle']",Wilson,57304,47189
Certified Tutor-Part-time,Getwell Elementary,470014801605,Memphis-Shelby County Schools,Other,School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,2795 Getwell Road,38118,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,514.0,['Elementary'],Shelby,62654,47157
Special Education Teacher K-12 - Summer Learning Academy,Getwell Elementary,470014801605,Memphis-Shelby County Schools,Special Education (General),School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,2795 Getwell Road,38118,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,514.0,['Elementary'],Shelby,62654,47157
25/26 School Year:Foreign Language  Teacher,,,Maury County,Foreign Language: Spanish,District,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,,,,,,,,Maury,59281,47119
25/26 School Year: Math Teacher (geometry and Math Reasoning),Columbia Central High School,470276000964,Maury County,Mathematics,School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Columbia,921 Lion Pkwy,38401,"['10', '11', '12', '9']",Public,1474.0,['High'],Maury,59281,47119
25/26 School Year: Physical Education Teacher,Columbia Central High School,470276000964,Maury County,Health & Physical Education,School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Columbia,921 Lion Pkwy,38401,"['10', '11', '12', '9']",Public,1474.0,['High'],Maury,59281,47119
25/26 School Year: Special Education Teacher,Columbia Central High School,470276000964,Maury County,Special Education (General),School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Columbia,921 Lion Pkwy,38401,"['10', '11', '12', '9']",Public,1474.0,['High'],Maury,59281,47119
Teacher Grade 1 (2025-2026) - (25002248),Dan Mills Elementary,470318001283,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,4106 Kennedy Ave,37216,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,607.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten (2025-2026) - (25003237),Dodson Elementary,470318001284,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Hermitage,4401 Chandler Rd,37076,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,423.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten (2025-2026) - (25002465),Julia Green Elementary,470318001331,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,3500 Hobbs Rd,37215,"['1', '2', '3', '4', '5', 'KG']",Public,432.0,['Elementary'],Davidson,70137,47037
Teacher Grade 2 (2025-2026) (Interim) - (25001689),Julia Green Elementary,470318001331,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,3500 Hobbs Rd,37215,"['1', '2', '3', '4', '5', 'KG']",Public,432.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 (2025-2026) (Interim ) - (25001695),Julia Green Elementary,470318001331,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,3500 Hobbs Rd,37215,"['1', '2', '3', '4', '5', 'KG']",Public,432.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 (2025-2026) - (25003285),Rosebank Elementary,470318001366,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1012 Preston Dr,37206,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,411.0,['Elementary'],Davidson,70137,47037
Teacher Ex Ed Interventionist - SY 2025-26 - (25002044),Henry C. Maxwell Elementary,470318001651,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5535 Blue Hole Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,555.0,['Elementary'],Davidson,70137,47037
Teacher Ex Ed Comprehensive (2025-2026) - (25003375),Waverly-Belmont Elementary School,470318002457,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2301 10th Ave South,37204,"['1', '2', '3', '4', '5', 'KG']",Public,481.0,['Elementary'],Davidson,70137,47037
