name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2,county,salary,fips
FY26 Elem Teacher K-4,,,Oak Ridge,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/17XJIr4AtljT4Z50kXSvkMh8epmPTCQ2P/view,,,,,,,,Anderson,67281,47001
FY26 Elem Resource Teacher (K-2),,,Oak Ridge,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/17XJIr4AtljT4Z50kXSvkMh8epmPTCQ2P/view,,,,,,,,Anderson,67281,47001
FY26 Grade 3 Math teacher,,,Oak Ridge,Mathematics,District,https://drive.google.com/file/d/17XJIr4AtljT4Z50kXSvkMh8epmPTCQ2P/view,,,,,,,,Anderson,67281,47001
FY26 Elem Teacher K-4 (3 positions),Linden Elementary,470324001395,Oak Ridge,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/17XJIr4AtljT4Z50kXSvkMh8epmPTCQ2P/view,Oak Ridge,700 Robertsville Rd,37830,"['1', '2', '3', '4', 'KG']",Public,543.0,['Elementary'],Anderson,67281,47001
FY26 Elem Grade 4 Math Teacher,,,Oak Ridge,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/17XJIr4AtljT4Z50kXSvkMh8epmPTCQ2P/view,,,,,,,,Anderson,67281,47001
CERT- HIGH SCHOOL TEACHER- ENGLISH  2025-2026 SY,,,Sumner County,Language Arts,District,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,,,,,,,,Sumner,58827,47165
CERT- ELEMENTARY SCHOOL TEACHER- KINDERGARTEN 2025-2026 SY,Merrol Hyde Magnet School,470402001665,Sumner County,Early Childhood,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,Hendersonville,128 Township Dr,37075,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG']",Public,668.0,"['Elementary', 'Middle', 'High']",Sumner,58827,47165
CERT- CTE TEACHER- BUSINESS/MARKETING 2025-2026 SY,Merrol Hyde Magnet School,470402001665,Sumner County,Career and Technical Education,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,Hendersonville,128 Township Dr,37075,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG']",Public,668.0,"['Elementary', 'Middle', 'High']",Sumner,58827,47165
Interventionist ELA,West Collierville Middle School,470014901134,Collierville,Language Arts,School,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,Collierville,935 S Colbert St,38017,"['6', '7', '8']",Public,1309.0,['Middle'],Shelby,63208,47157
Math Teacher,,,Collierville,Mathematics,District,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,,,,,,,,Shelby,63208,47157
English as a Second Language,,,Collierville,English as a Second Language (ESL),District,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,,,,,,,,Shelby,63208,47157
Vision Teacher,,,Collierville,Special Education (Comprehensive),District,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,,,,,,,,Shelby,63208,47157
Physical Education/Wellness,West Collierville Middle School,470014901134,Collierville,Health & Physical Education,School,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,Collierville,935 S Colbert St,38017,"['6', '7', '8']",Public,1309.0,['Middle'],Shelby,63208,47157
ESY - SPED Teacher,Bon Lin Elementary School,470015302077,Bartlett,Special Education (Comprehensive),School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3940 Germantown Rd,38134,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,752.0,['Elementary'],Shelby,63518,47157
K-5 Teacher Pool 2025-26,Bon Lin Elementary School,470015302077,Bartlett,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3940 Germantown Rd,38134,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,752.0,['Elementary'],Shelby,63518,47157
SPED Teacher Pool- Elementary Self-Contained Classroom 2025-2026,,,Bartlett,Special Education (Comprehensive),District,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,,,,,,,,Shelby,63518,47157
ESY - Speech and Language Pathologist,Bon Lin Elementary School,470015302077,Bartlett,Special Education (General),School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3940 Germantown Rd,38134,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,752.0,['Elementary'],Shelby,63518,47157
Preschool SPED Teacher Pool 2025-26,,,Bartlett,Special Education (Comprehensive),District,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,,,,,,,,Shelby,63518,47157
Grade 9-12 Math Teacher,Walker Valley High School,470033001388,Bradley County,Mathematics,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,750 Lauderdale Memorial Hwy. N. W.,37312,"['10', '11', '12', '9']",Public,1498.0,['High'],Bradley,60879,47011
Grade 9-12 Science Teacher - Interim,Walker Valley High School,470033001388,Bradley County,Science,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,750 Lauderdale Memorial Hwy. N. W.,37312,"['10', '11', '12', '9']",Public,1498.0,['High'],Bradley,60879,47011
ELA Teacher (2025-2026 School Year),Creek Wood High School,470102001727,Dickson County,Language Arts,School,https://drive.google.com/file/d/1VyhsFQOvOYW63_ULMKu6FynMvz-Yzsqb/view,Charlotte,3499 Highway 47 North,37036,"['10', '11', '12', '9']",Public,933.0,['High'],Dickson,55344,47043
Theatre Teacher (2025-2026 School Year),Creek Wood High School,470102001727,Dickson County,Theater,School,https://drive.google.com/file/d/1VyhsFQOvOYW63_ULMKu6FynMvz-Yzsqb/view,Charlotte,3499 Highway 47 North,37036,"['10', '11', '12', '9']",Public,933.0,['High'],Dickson,55344,47043
Vision Teacher (Part-time),,,Dickson County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1VyhsFQOvOYW63_ULMKu6FynMvz-Yzsqb/view,,,,,,,,Dickson,55344,47043
CTE Mechatronics Teacher (2025-2026 School Year),Creek Wood High School,470102001727,Dickson County,Career and Technical Education,School,https://drive.google.com/file/d/1VyhsFQOvOYW63_ULMKu6FynMvz-Yzsqb/view,Charlotte,3499 Highway 47 North,37036,"['10', '11', '12', '9']",Public,933.0,['High'],Dickson,55344,47043
Special Education Teacher (2025-2026-School Year),Creek Wood High School,470102001727,Dickson County,Special Education (General),School,https://drive.google.com/file/d/1VyhsFQOvOYW63_ULMKu6FynMvz-Yzsqb/view,Charlotte,3499 Highway 47 North,37036,"['10', '11', '12', '9']",Public,933.0,['High'],Dickson,55344,47043
ESL Teacher - Elementary,,,Fayette County Public Schools,English as a Second Language (ESL),District,https://drive.google.com/file/d/1R38qhWNLPj8czX0MnTbJ8BtbynxJwEoJ/view,,,,,,,,Fayette,53013,47047
Elementary Teacher 2025-2026 School Year,,,Fayette County Public Schools,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1R38qhWNLPj8czX0MnTbJ8BtbynxJwEoJ/view,,,,,,,,Fayette,53013,47047
Special Education Teacher - Pre-K,Oakland Elementary,470117000366,Fayette County Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1R38qhWNLPj8czX0MnTbJ8BtbynxJwEoJ/view,Oakland,14925 Hwy 194 North,38060,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,701.0,['Elementary'],Fayette,53013,47047
Special Education Teacher  Inclusion- Elementary School,La Grange Moscow Elementary,470117001994,Fayette County Public Schools,Special Education (General),School,https://drive.google.com/file/d/1R38qhWNLPj8czX0MnTbJ8BtbynxJwEoJ/view,Moscow,15655 Highway 57 East,38057,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,218.0,['Elementary'],Fayette,53013,47047
Elementary Teacher - ART,Buckley-Carpenter Elementary School,470117002364,Fayette County Public Schools,Visual Arts,School,https://drive.google.com/file/d/1R38qhWNLPj8czX0MnTbJ8BtbynxJwEoJ/view,Somerville,12580 S Main St,38068,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,514.0,['Elementary'],Fayette,53013,47047
TCHR PRESCHOOL TITLE 1  SUPPLY THROUGH 5/23/25,,,Knox County,Early Childhood,District,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,,,,,,,,Knox,58297,47093
TCHR STEM MS  25/26SY,South Doyle Middle School,470222000733,Knox County,Mathematics,School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,3900 Decatur Rd,37920,"['6', '7', '8']",Public,798.0,['Middle'],Knox,58297,47093
TCHR SPED CDC MS  25/26SY,,,Knox County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,,,,,,,,Knox,58297,47093
TEACHERS OF VISUALLY  SUPPLY THROUGH 5/23/25,,,Knox County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,,,,,,,,Knox,58297,47093
TCHR SPECIAL ED MS  SUPPLY 3/24/25 THROUGH 5/23/25,South Doyle Middle School,470222000733,Knox County,Special Education (General),School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,3900 Decatur Rd,37920,"['6', '7', '8']",Public,798.0,['Middle'],Knox,58297,47093
TUTOR LITERACY ES- PART-TIME 24/25SY,Gibbs Elementary,470222000740,Knox County,Reading/Literacy,School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Corryton,7715 Tazewell Pike,37721,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,942.0,['Elementary'],Knox,58297,47093
TCHR KINDERGARTEN  SUPPLY 7/31/25 THROUGH 11/7/25,Halls Elementary,470222000742,Knox County,Early Childhood,School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,7502 Andersonville Pike,37938,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,745.0,['Elementary'],Knox,58297,47093
TCHR ELL  25/26SY,Beaumont Elementary/Magnet,470222000772,Knox County,English as a Second Language (ESL),School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,1211 Beaumont Ave,37921,"['1', '2', '3', '4', '5', 'KG']",Public,551.0,['Elementary'],Knox,58297,47093
TCHR MUSIC ES  25/26SY,Beaumont Elementary/Magnet,470222000772,Knox County,Music: Instrumental/general,School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,1211 Beaumont Ave,37921,"['1', '2', '3', '4', '5', 'KG']",Public,551.0,['Elementary'],Knox,58297,47093
TCHR SPED MS  25/26SY,West Valley Middle School,470222001117,Knox County,Special Education (General),School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,9118 George Williams Rd,37922,"['6', '7', '8']",Public,1132.0,['Middle'],Knox,58297,47093
TCHR RTI MS (PART-TIME) 25/26SY,West Valley Middle School,470222001117,Knox County,Reading/Literacy,School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,9118 George Williams Rd,37922,"['6', '7', '8']",Public,1132.0,['Middle'],Knox,58297,47093
TCHR ART ES  25/26SY,Amherst Elementary School,470222002065,Knox County,Visual Arts,School,https://drive.google.com/file/d/1tD8aivGHZ5LSj4imSgiaH6rS0h1e7Y4T/view,Knoxville,5101 Schaad Rd,37931,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,682.0,['Elementary'],Knox,58297,47093
3122 Speech and Language Pathologist,,,Madison County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1-IkuhRs5X7RE5k0z2SruZAE5iPiitm4w/view,,,,,,,,Madison,57846,47113
ESL Teacher (POOL),,,Madison County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1-IkuhRs5X7RE5k0z2SruZAE5iPiitm4w/view,,,,,,,,Madison,57846,47113
25/26 School Year: Social Studies Teacher,,,Maury County,Social Studies,District,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,,,,,,,,Maury,59281,47119
25/26 School Year: Alternative School Elementary Teacher,,,Maury County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,,,,,,,,Maury,59281,47119
25/26 School Year: Science and English Language Arts Teacher : 6th Grade,Mt. Pleasant Middle Visual Perform. Arts,470276001473,Maury County,Language Arts,School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Mt. Pleasant,410 Gray Ln,38474,"['5', '6', '7', '8']",Public,421.0,['Middle'],Maury,59281,47119
25/26 School Year:English Language Arts Teacher : 8th grade,Mt. Pleasant Middle Visual Perform. Arts,470276001473,Maury County,Language Arts,School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Mt. Pleasant,410 Gray Ln,38474,"['5', '6', '7', '8']",Public,421.0,['Middle'],Maury,59281,47119
Special Education Teacher - Comprehensive Development (CDC) at Cason Lane,Cason Lane Academy,470315010374,Murfreesboro,Special Education (Comprehensive),School,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,Murfreesboro,1330 Cason Ln,37128,"['1', '2', '3', '4', '5', '6', 'KG', 'PK']",Public,795.0,['Elementary'],Rutherford,67432,47149
3rd Grade Teacher Cason Lane (25-26),Cason Lane Academy,470315010374,Murfreesboro,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,Murfreesboro,1330 Cason Ln,37128,"['1', '2', '3', '4', '5', '6', 'KG', 'PK']",Public,795.0,['Elementary'],Rutherford,67432,47149
SPED Integrated Pre-K Teacher (25/26),,,Murfreesboro,Special Education (Comprehensive),District,https://drive.google.com/file/d/1rSH3k8Llp1DJmkgUSZAsLfaNK1W2RHJD/view,,,,,,,,Rutherford,67432,47149
FY26 60% Elem Grade 4 Math Teacher,,,Oak Ridge,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/17XJIr4AtljT4Z50kXSvkMh8epmPTCQ2P/view,,,,,,,,Anderson,67281,47001
SECONDARY TEACHER - SECONDARY TEACHER,,,Putnam County,Other,District,https://drive.google.com/file/d/1XKsqvlVjU85UrEfV5wh_uusAWjPNbSGX/view,,,,,,,,Putnam,49436,47141
SECONDARY TEACHERS - SPANISH TEACHER,Monterey High School,470348001454,Putnam County,Foreign Language: Spanish,School,https://drive.google.com/file/d/1XKsqvlVjU85UrEfV5wh_uusAWjPNbSGX/view,Monterey,710 East Commercial Ave,38574,"['10', '11', '12', '7', '8', '9']",Public,572.0,"['Middle', 'High']",Putnam,49436,47141
SECONDARY TEACHER - GRADE 9-12 SOCIAL STUDIES TEACHER,Monterey High School,470348001454,Putnam County,Social Studies,School,https://drive.google.com/file/d/1XKsqvlVjU85UrEfV5wh_uusAWjPNbSGX/view,Monterey,710 East Commercial Ave,38574,"['10', '11', '12', '7', '8', '9']",Public,572.0,"['Middle', 'High']",Putnam,49436,47141
SECONDARY TEACHERS - GRADE 9-12 MATH TEACHER,Monterey High School,470348001454,Putnam County,Mathematics,School,https://drive.google.com/file/d/1XKsqvlVjU85UrEfV5wh_uusAWjPNbSGX/view,Monterey,710 East Commercial Ave,38574,"['10', '11', '12', '7', '8', '9']",Public,572.0,"['Middle', 'High']",Putnam,49436,47141
SYSTEM WIDE  - DEAF/HARD OF HEARING TEACHER,,,Putnam County,Special Education (General),District,https://drive.google.com/file/d/1XKsqvlVjU85UrEfV5wh_uusAWjPNbSGX/view,,,,,,,,Putnam,49436,47141
CERT- INTERIM CTE TEACHER- MARKETING 2024-2025 SY,White House High School,470402001684,Sumner County,Career and Technical Education,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,White House,508 Tyree Springs Rd,37188,"['10', '11', '12', '9']",Public,824.0,['High'],Sumner,58827,47165
CERT- CTE TEACHER- CULINARY ARTS 2025-2026 SY,White House High School,470402001684,Sumner County,Career and Technical Education,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,White House,508 Tyree Springs Rd,37188,"['10', '11', '12', '9']",Public,824.0,['High'],Sumner,58827,47165
CERT- PHYSICAL EDUCATION TEACHER 2025-2026 SY,White House High School,470402001684,Sumner County,Health & Physical Education,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,White House,508 Tyree Springs Rd,37188,"['10', '11', '12', '9']",Public,824.0,['High'],Sumner,58827,47165
CERT- PT READING INTERVENTIONIST 2025-2026 SY,Knox Doss Middle School at Drakes Creek,470402002203,Sumner County,Reading/Literacy,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,Hendersonville,1338 Drakes Creek Rd,37075,"['6', '7', '8']",Public,597.0,['Middle'],Sumner,58827,47165
CERT- INTERIM MIDDLE SCHOOL TEACHER- 8TH GRADE MATH 2024-2025 SY,Knox Doss Middle School at Drakes Creek,470402002203,Sumner County,Mathematics,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,Hendersonville,1338 Drakes Creek Rd,37075,"['6', '7', '8']",Public,597.0,['Middle'],Sumner,58827,47165
CERT- MIDDLE SCHOOL TEACHER- 6TH GRADE SCIENCE 2025-2026 SY,Knox Doss Middle School at Drakes Creek,470402002203,Sumner County,Science,School,https://drive.google.com/file/d/1ib4nc3LBIojVV91W5u2irw28cZ4uHD6H/view,Hendersonville,1338 Drakes Creek Rd,37075,"['6', '7', '8']",Public,597.0,['Middle'],Sumner,58827,47165
High School Math Teacher (2025-2026 School Year),David Crockett High School,470438001757,Washington County,Mathematics,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Jonesborough,684 Old State Route 34,37659,"['10', '11', '12', '9']",Public,1181.0,['High'],Washington,59366,47179
High School Science Teacher (2025-2026 School Year),David Crockett High School,470438001757,Washington County,Science,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Jonesborough,684 Old State Route 34,37659,"['10', '11', '12', '9']",Public,1181.0,['High'],Washington,59366,47179
Physical Education/Driver Education Teacher (2025-2026 School Year),David Crockett High School,470438001757,Washington County,Health & Physical Education,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Jonesborough,684 Old State Route 34,37659,"['10', '11', '12', '9']",Public,1181.0,['High'],Washington,59366,47179
High School Librarian,David Crockett High School,470438001757,Washington County,Library & Media,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Jonesborough,684 Old State Route 34,37659,"['10', '11', '12', '9']",Public,1181.0,['High'],Washington,59366,47179
Economics/Social Studies Teacher (2025-2026 School Year),David Crockett High School,470438001757,Washington County,Social Studies,School,https://drive.google.com/file/d/1RGzyaL3Rc2JuObVIsJIxUrna268dRDMB/view,Jonesborough,684 Old State Route 34,37659,"['10', '11', '12', '9']",Public,1181.0,['High'],Washington,59366,47179
English/Language Arts,Collierville High School,470014901574,Collierville,Language Arts,School,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,Collierville,11605 E. Shelby Dr,38017,"['10', '11', '12', '9']",Public,2836.0,['High'],Shelby,63208,47157
German,Collierville High School,470014901574,Collierville,Foreign Language: Other,School,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,Collierville,11605 E. Shelby Dr,38017,"['10', '11', '12', '9']",Public,2836.0,['High'],Shelby,63208,47157
Health Sciences/Medical Therapeutics Teacher,Collierville High School,470014901574,Collierville,Career and Technical Education,School,https://drive.google.com/file/d/1iB_O1iMSHvdidpQHf15FS08nM2c2sTCp/view,Collierville,11605 E. Shelby Dr,38017,"['10', '11', '12', '9']",Public,2836.0,['High'],Shelby,63208,47157
6-8 Math Teacher Pool 2025-2026,Appling Middle School,470015300415,Bartlett,Mathematics,School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3700 Appling Rd,38133,"['6', '7', '8']",Public,584.0,['Middle'],Shelby,63518,47157
Middle School SPED CO-Teacher Pool 2025-26,,,Bartlett,Special Education (Comprehensive),District,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,,,,,,,,Shelby,63518,47157
6-8 Science Teacher Pool 2025-2026,Appling Middle School,470015300415,Bartlett,Science,School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3700 Appling Rd,38133,"['6', '7', '8']",Public,584.0,['Middle'],Shelby,63518,47157
6-8 Language Arts Teacher Pool 2025-2026,Appling Middle School,470015300415,Bartlett,Language Arts,School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3700 Appling Rd,38133,"['6', '7', '8']",Public,584.0,['Middle'],Shelby,63518,47157
6-8 Social Studies Teacher Pool 2025-2026,Appling Middle School,470015300415,Bartlett,Social Studies,School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,3700 Appling Rd,38133,"['6', '7', '8']",Public,584.0,['Middle'],Shelby,63518,47157
Librarian,Ellendale Elementary,470015301578,Bartlett,Library & Media,School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,6950 Dawn Hill,38135,"['1', '2', '3', '4', '5', 'KG']",Public,505.0,['Elementary'],Shelby,63518,47157
SPED Teacher - (Spring 2025)Co-Teacher,Ellendale Elementary,470015301578,Bartlett,Special Education (Comprehensive),School,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,Bartlett,6950 Dawn Hill,38135,"['1', '2', '3', '4', '5', 'KG']",Public,505.0,['Elementary'],Shelby,63518,47157
Elementary SPED Teacher Pool 2025-26,,,Bartlett,Special Education (General),District,https://drive.google.com/file/d/1ZWDp-CQMzYibK2d12vWW8JaNjzeR6cGS/view,,,,,,,,Shelby,63518,47157
Middle School Teacher,,,Blount County,Other,District,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,,,,,,,,Blount,57115,47009
High School English Language Arts 2025-2026 School Year,Eagleton College and Career Academy,470030002643,Blount County,Language Arts,School,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,Maryville,2610 Cinema Dr,37804,"['10', '11', '6', '7', '8', '9']",Public,600.0,"['Middle', 'High']",Blount,57115,47009
High School Math Teacher 2025-2026 School Year,Eagleton College and Career Academy,470030002643,Blount County,Mathematics,School,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,Maryville,2610 Cinema Dr,37804,"['10', '11', '6', '7', '8', '9']",Public,600.0,"['Middle', 'High']",Blount,57115,47009
Middle School Math 2025-2026 School Year,,,Blount County,Mathematics,District,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,,,,,,,,Blount,57115,47009
Middle School Social Studies Teacher 2025-2026 School Year,Eagleton College and Career Academy,470030002643,Blount County,Social Studies,School,https://drive.google.com/file/d/1lh1oQsKqpoJ6M396QhRoIxU-EiE-Zb8A/view,Maryville,2610 Cinema Dr,37804,"['10', '11', '6', '7', '8', '9']",Public,600.0,"['Middle', 'High']",Blount,57115,47009
Music Teacher - Interim,Charleston Elementary School,470033000092,Bradley County,Music: Instrumental/general,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Charleston,8797 Hiwassee St,37310,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,341.0,['Elementary'],Bradley,60879,47011
Special Education Teacher,Hopewell Elementary School,470033000094,Bradley County,Special Education (General),School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,5350 Freewill Road NW,37312,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,457.0,['Elementary'],Bradley,60879,47011
Grade 1 Teacher - Interim,North Lee Elementary School,470033000098,Bradley County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,205 Sequoia Dr,37312,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,513.0,['Elementary'],Bradley,60879,47011
NJROTC Instructor,Cocke Co High School,470075000275,Cocke County,Career and Technical Education,School,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,Newport,216 Hedrick Dr,37821,"['10', '11', '12', '9']",Public,1159.0,['High'],Cocke,54484,47029
Assistant Band Instructor,Cocke Co High School,470075000275,Cocke County,Music: Instrumental/general,School,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,Newport,216 Hedrick Dr,37821,"['10', '11', '12', '9']",Public,1159.0,['High'],Cocke,54484,47029
HS EnglishTeacher 9-12,,,Cocke County,Mathematics,District,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,,,,,,,,Cocke,54484,47029
K-5 Elementary Classroom Teacher,,,Cocke County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,,,,,,,,Cocke,54484,47029
6-8 Middle School Classroom Teacher,,,Cocke County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,,,,,,,,Cocke,54484,47029
5/6th grade ELA and Social Studies Teacher,Del Rio Elementary,470075000278,Cocke County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,Del Rio,500 South Highway 107,37727,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,92.0,"['Elementary', 'Middle']",Cocke,54484,47029
5/6th grade Math and Science Teacher,Del Rio Elementary,470075000278,Cocke County,Mathematics,School,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,Del Rio,500 South Highway 107,37727,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,92.0,"['Elementary', 'Middle']",Cocke,54484,47029
7/8 grade ELA and Social Studies Teacher,Del Rio Elementary,470075000278,Cocke County,Language Arts,School,https://drive.google.com/file/d/1rInZakiIV5ep8ANCMNk3pMIsiipWuBjJ/view,Del Rio,500 South Highway 107,37727,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,92.0,"['Elementary', 'Middle']",Cocke,54484,47029
Special Education Teacher Self-Contained - Elementary School,,,Fayette County Public Schools,Special Education (Comprehensive),District,https://drive.google.com/file/d/1R38qhWNLPj8czX0MnTbJ8BtbynxJwEoJ/view,,,,,,,,Fayette,53013,47047
