name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2
High School English Teacher (Pool),,,Madison County,Language Arts,District,https://drive.google.com/file/d/1-IkuhRs5X7RE5k0z2SruZAE5iPiitm4w/view,,,,,,,
4485 Middle School Chorus Director,,,Madison County,Music: Choral,District,https://drive.google.com/file/d/1-IkuhRs5X7RE5k0z2SruZAE5iPiitm4w/view,,,,,,,
High School Social Studies Teacher (Pool),,,Madison County,Social Studies,District,https://drive.google.com/file/d/1-IkuhRs5X7RE5k0z2SruZAE5iPiitm4w/view,,,,,,,
High School Math Teacher (Pool),,,Madison County,Mathematics,District,https://drive.google.com/file/d/1-IkuhRs5X7RE5k0z2SruZAE5iPiitm4w/view,,,,,,,
Speech-Language Pathology Assistant (SLPA)-CSS-*Position available August 2025* (10782),,,Clarksville-Montgomery,Special Education (General),District,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,,,,,,,
6th Grade Teacher-KMS-*Position available August 2025* (10563),Kenwood Middle,470303010361,Clarksville-Montgomery,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,Clarksville,241 E Pine Mountain Rd,37042,"['6', '7', '8']",Public,1121.0,['Middle']
Speech Pathologist (200 day)-CSS-*Position available November 2025* (10777),,,Clarksville-Montgomery,Special Education (General),District,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,,,,,,,
Job-Embedded Mentor Teacher*TEMPORARY (PART TIME)*-CSS-*Position available August 2025* (10770),,,Clarksville-Montgomery,Other,District,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,,,,,,,
TUTORS & TCAT INTERNS,,,Clarksville-Montgomery,Other,District,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,,,,,,,
Teacher Art (2025-2026) (Split Between Hatti Cotton .5) - (25002349),,,Metro Nashville Public Schools,Visual Arts,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Teacher Grade 2 (2025-2026) - (25003187),Eakin Elementary,470318001290,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2500 Fairfax Ave,37212,"['1', '2', '3', '4', '5', 'KG']",Public,524.0,['Elementary']
Teacher Grade 2 (2025-2026) - (25003371),Eakin Elementary,470318001290,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2500 Fairfax Ave,37212,"['1', '2', '3', '4', '5', 'KG']",Public,524.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002441),Fall-Hamilton Elementary,470318001294,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,510 Wedgewood Ave,37203,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,288.0,['Elementary']
Teacher Grade 3 (2025-2026) - (25002458),Glencliff Elementary,470318001298,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,120 Antioch Pike,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,526.0,['Elementary']
Teacher Grade 3 (2025-2026) - (25003262),Glencliff Elementary,470318001298,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,120 Antioch Pike,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,526.0,['Elementary']
Teacher Ex Ed Interventionist (Interim) (2024-2025) - (25001208),Goodlettsville Elementary,470318001304,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,514 Donald St,37072,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,389.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002470),Goodlettsville Elementary,470318001304,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,514 Donald St,37072,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,389.0,['Elementary']
Instructional Specialist (2025-2026) (120 Day) - (25002831),McGavock Elementary,470318001341,Metro Nashville Public Schools,Reading/Literacy,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,275 McGavock Pike,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,298.0,['Elementary']
Teacher Exceptional Education Interventionist (2025-2026) - (25003342),Nashville School Of The Arts,470318001815,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1250 Foster Ave,37210,"['10', '11', '12', '9']",Public,622.0,['High']
Teacher Language Spanish (2025-2026) - (25002557),Ruby Major Elementary,470318002102,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Hermitage,5141 John Hager Rd,37076,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,546.0,['Elementary']
Teacher Ex Ed Interventionist (2025-2026) - (25002558),Ruby Major Elementary,470318002102,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Hermitage,5141 John Hager Rd,37076,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,546.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002462),Robert Churchwell Elementary,470318002201,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1625 Dr. D. B. Todd Jr. Blvd,37208,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,289.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002460),Robert Churchwell Elementary,470318002201,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1625 Dr. D. B. Todd Jr. Blvd,37208,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,289.0,['Elementary']
GRADE 4 TEACHER (PENDING BUDGET APPROVAL),Sunset Elementary School,470453002097,Williamson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,Brentwood,100 Sunset Trail,37027,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,623.0,['Elementary']
Internship for Speech Language,,,Wilson County,Language Arts,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,
Art Teacher (K-5) [2025-2026 Pending Budget Approval],,,Wilson County,Visual Arts,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,
iteach - Alternative Licensure Pathway,,,Wilson County,Other,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,
Elementary Teacher (K-3) (2025-2026),,,Wilson County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,
K-8 PE Teacher (2025-2026-Pending Budget Approval),Southside Elementary,470455001823,Wilson County,Health & Physical Education,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Lebanon,1224 Murfreesboro Rd,37087,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,691.0,"['Elementary', 'Middle']"
Pre-K Behavior Interventionist (Grant Funded)-SBELC-*Position available August 2025* (10846),,,Clarksville-Montgomery,Special Education (Comprehensive),District,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,,,,,,,
Special Education CDC Teacher-GES-*Position available August 2025* (10835),Glenellen Elementary,470303001121,Clarksville-Montgomery,Special Education (Comprehensive),School,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,Clarksville,825 Needmore Rd,37040,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,1002.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002176),Andrew Jackson Elementary,470318001256,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Old Hickory,110 Shute Ln,37138,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,480.0,['Elementary']
Teacher English (2025-2026) - (25003167),Hume - Fogg High,470318001320,Metro Nashville Public Schools,Language Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,700 Broadway,37203,"['10', '11', '12', '9']",Public,898.0,['High']
Teacher Math (2025-2026) - (25002859),Transitions at Bass,470318002297,Metro Nashville Public Schools,Mathematics,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,5200 Delaware Ave,37209,"['10', '11', '12', '9']",Public,19.0,['High']
Possible Growth French Teacher (2025-2026 School Year),,,Rutherford County,Foreign Language: French,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Possible Growth CTE- Agriculture Teacher (2025-2026 School Year),,,Rutherford County,Career and Technical Education,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Possible Growth Physical Education Teacher (2025-2026 School Year),,,Rutherford County,Health & Physical Education,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
EARLY CHILDHOOD SPECIAL EDUCATION TEACHER (PENDING BUDGET APPROVAL),,,Williamson County,Early Childhood,District,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,,,,,,,
KINDERGARTEN TEACHER (PENDING BUDGET APPROVAL),Longview Elementary School,470453002139,Williamson County,Early Childhood,School,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,Spring Hill,2929 Commonwealth Dr,37174,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,969.0,['Elementary']
Special Education- Inclusion Teacher (2025-2026),Carroll Oakland Elementary,470455001816,Wilson County,Special Education (General),School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Lebanon,4664 Hunters Point Pike,37087,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,744.0,"['Elementary', 'Middle']"
Classroom Teacher K-12 – Summer Learning Academy,Hanley K-8,470014810491,Memphis-Shelby County Schools,Other,School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,802 Rozelle ST,38104,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,,"['Elementary', 'Middle']"
High School Foreign Language Teacher,,,Cheatham County,Foreign Language: Other,District,https://drive.google.com/file/d/1YgPzOsmX82-wSvC89LJzhsj0J-s-OrSu/view,,,,,,,
High School History Teacher,,,Cheatham County,Social Studies,District,https://drive.google.com/file/d/1YgPzOsmX82-wSvC89LJzhsj0J-s-OrSu/view,,,,,,,
High School Special Education Interventionist,,,Cheatham County,Special Education (General),District,https://drive.google.com/file/d/1YgPzOsmX82-wSvC89LJzhsj0J-s-OrSu/view,,,,,,,
Kindergarten Teacher-OES-*Position available August 2025* (10839),Oakland Elementary,470303002444,Clarksville-Montgomery,Early Childhood,School,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,Clarksville,1050 Cherry Blossom Ln,37040,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,1170.0,['Elementary']
Teacher English Learner ES (2025-2026) - (25002919),Charlotte Park Elementary,470318001274,Metro Nashville Public Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,480 Annex Ave,37209,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,510.0,['Elementary']
Teacher Grade 1 (2025-2026) - (25003276),Charlotte Park Elementary,470318001274,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,480 Annex Ave,37209,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,510.0,['Elementary']
Teacher Grade 5 (2025-2026) - (25003363),Hattie Cotton Elementary,470318001279,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1033 West Greenwood Ave,37206,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,249.0,['Elementary']
Teacher Grade 1 (2025-2026) - (25002079),Gateway Elementary,470318001297,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Madison,1524 Monticello Ave,37115,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,275.0,['Elementary']
Teacher Ex Ed Comprehensive - (25001606),Granbery Elementary,470318001308,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Brentwood,5501 Hill Rd,37027,"['1', '2', '3', '4', 'KG']",Public,662.0,['Elementary']
Teacher Grade 1 (2025-2026) - (25002528),Granbery Elementary,470318001308,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Brentwood,5501 Hill Rd,37027,"['1', '2', '3', '4', 'KG']",Public,662.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25003331),Old Center Elementary,470318001355,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,1245 Dickerson Pike South,37072,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,361.0,['Elementary']
Teacher Exceptional Education Interventionist (2025-2026) - (25003356),Old Center Elementary,470318001355,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Goodlettsville,1245 Dickerson Pike South,37072,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,361.0,['Elementary']
Teacher Health Physical Education (2025-2026) - (25002519),Hickman Elementary,470318001698,Metro Nashville Public Schools,Health & Physical Education,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,112 Stewarts Ferry Pike,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,438.0,['Elementary']
Teacher Ex Ed Comprehensive (2025-2026) - (25002609),Glendale Elementary,470318002054,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,800 Thompson Ave,37204,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,407.0,['Elementary']
Teacher Grade 3 (2025-2026) - (25003428),Glendale Elementary,470318002054,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,800 Thompson Ave,37204,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,407.0,['Elementary']
3rd Grade Teacher (2025-2026 School Year),Plainview Elementary School,470369002670,Rutherford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Christiana,7182 Otter Pond Way,37037,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,534.0,['Elementary']
SPECIAL EDUCATION TEACHER,Fairview Elementary,470453001803,Williamson County,Special Education (General),School,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,Fairview,2640 Fairview W Blvd,37062,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,497.0,['Elementary']
3rd Grade Teacher (2025-2026-Pending Budget Approval),Watertown Elementary,470455001766,Wilson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Watertown,741 West Main St,37184,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,577.0,"['Elementary', 'Middle']"
K-3 Teacher (2025-2026- Pending Budget Approval),Gladeville Elementary,470455001817,Wilson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Gladeville,8840 Stewarts Ferry Pike,37071,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,702.0,['Elementary']
3rd Grade Teacher (2025-2026- Pending Budget Approval),Tuckers Crossroads Elementary,470455001824,Wilson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,Lebanon,5905 Trousdale Ferry Pike,37087,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,381.0,"['Elementary', 'Middle']"
Certified Tutor-Part-time,Getwell Elementary,470014801605,Memphis-Shelby County Schools,Other,School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,2795 Getwell Road,38118,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,514.0,['Elementary']
Special Education Teacher K-12 - Summer Learning Academy,Getwell Elementary,470014801605,Memphis-Shelby County Schools,Special Education (General),School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,2795 Getwell Road,38118,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,514.0,['Elementary']
25/26 School Year:Foreign Language  Teacher,,,Maury County,Foreign Language: Spanish,District,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,,,,,,,
25/26 School Year: Math Teacher (geometry and Math Reasoning),Columbia Central High School,470276000964,Maury County,Mathematics,School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Columbia,921 Lion Pkwy,38401,"['10', '11', '12', '9']",Public,1474.0,['High']
25/26 School Year: Physical Education Teacher,Columbia Central High School,470276000964,Maury County,Health & Physical Education,School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Columbia,921 Lion Pkwy,38401,"['10', '11', '12', '9']",Public,1474.0,['High']
25/26 School Year: Special Education Teacher,Columbia Central High School,470276000964,Maury County,Special Education (General),School,https://drive.google.com/file/d/1ixwnBozzpke1bRmAX1P_nulpwvAduKoO/view,Columbia,921 Lion Pkwy,38401,"['10', '11', '12', '9']",Public,1474.0,['High']
Teacher Grade 1 (2025-2026) - (25002248),Dan Mills Elementary,470318001283,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,4106 Kennedy Ave,37216,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,607.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25003237),Dodson Elementary,470318001284,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Hermitage,4401 Chandler Rd,37076,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,423.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002465),Julia Green Elementary,470318001331,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,3500 Hobbs Rd,37215,"['1', '2', '3', '4', '5', 'KG']",Public,432.0,['Elementary']
Teacher Grade 2 (2025-2026) (Interim) - (25001689),Julia Green Elementary,470318001331,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,3500 Hobbs Rd,37215,"['1', '2', '3', '4', '5', 'KG']",Public,432.0,['Elementary']
Teacher Grade 1 (2025-2026) (Interim ) - (25001695),Julia Green Elementary,470318001331,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,3500 Hobbs Rd,37215,"['1', '2', '3', '4', '5', 'KG']",Public,432.0,['Elementary']
Teacher Grade 1 (2025-2026) - (25003285),Rosebank Elementary,470318001366,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1012 Preston Dr,37206,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,411.0,['Elementary']
Teacher Ex Ed Interventionist - SY 2025-26 - (25002044),Henry C. Maxwell Elementary,470318001651,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Antioch,5535 Blue Hole Rd,37013,"['1', '2', '3', '4', 'KG', 'PK']",Public,555.0,['Elementary']
Teacher Ex Ed Comprehensive (2025-2026) - (25003375),Waverly-Belmont Elementary School,470318002457,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2301 10th Ave South,37204,"['1', '2', '3', '4', '5', 'KG']",Public,481.0,['Elementary']
Teacher Gifted & Talented PreK-8 (2025-2026) (.5 FTE) - (25003393),Waverly-Belmont Elementary School,470318002457,Metro Nashville Public Schools,Gifted Education,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2301 10th Ave South,37204,"['1', '2', '3', '4', '5', 'KG']",Public,481.0,['Elementary']
High School Mathematics Teacher - (2025-2026 School Year),Riverdale High School,470369001524,Rutherford County,Mathematics,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,802 Warrior Dr,37128,"['10', '11', '12', '9']",Public,2043.0,['High']
Possible Growth SpEd. Teacher (2025-2026 School Year),Siegel High School,470369002038,Rutherford County,Special Education (General),School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,3300 Siegel Rd,37129,"['10', '11', '12', '9']",Public,1861.0,['High']
High School AP Chemistry Teacher (2025-2026 School Year),Stewarts Creek High School,470369002318,Rutherford County,Science,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,301 Red Hawk Pkwy,37167,"['10', '11', '12', '9']",Public,2391.0,['High']
Head Girl's Basketball Coach/Wellness Teacher (2025-2026 School Year),Stewarts Creek High School,470369002318,Rutherford County,Health & Physical Education,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,301 Red Hawk Pkwy,37167,"['10', '11', '12', '9']",Public,2391.0,['High']
Classroom Teacher– Summer Learning Academy - ESL,Shelby Oaks Elementary,470014800499,Memphis-Shelby County Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,6053 Summer Ave,38134,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,743.0,['Elementary']
Specialty Teacher K-12 – Summer Learning Academy,Shrine School,470014801157,Memphis-Shelby County Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,4259 Forest View Dr,38118,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG', 'PK']",Public,138.0,"['Elementary', 'Middle', 'High']"
6th Grade Social Studies-*Position available August 2025* (10703),Northeast Middle,470303002011,Clarksville-Montgomery,Social Studies,School,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,Clarksville,3703 Trenton Rd,37040,"['6', '7', '8']",Public,1026.0,['Middle']
4th-5th Grade ELA/SS Teacher-PES-*Position available August 2025* (10665),Pisgah Elementary,470303002341,Clarksville-Montgomery,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1wVeMcIYqTowlF-Vf5W5NDUcKKVxMY8WN/view,Clarksville,1770 Hazelwood Rd,37042,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,971.0,['Elementary']
Teacher Art (2025-2026) (.5 FTE) - (25003451),Crieve Hall Elementary,470318001280,Metro Nashville Public Schools,Visual Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,498 Hogan Rd,37220,"['1', '2', '3', '4', '5', 'KG']",Public,459.0,['Elementary']
Teacher Grade 1 25-26 SY - (25001561),Crieve Hall Elementary,470318001280,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,498 Hogan Rd,37220,"['1', '2', '3', '4', '5', 'KG']",Public,459.0,['Elementary']
Teacher Kindergarten (2025-2026) - (25002798),Tusculum Elementary,470318001374,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,440 McMurray Dr,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,664.0,['Elementary']
Teacher Language Spanish (2025-2026) - (25002514),Lockeland Elementary,470318001755,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,105 South 17th St,37206,"['1', '2', '3', '4', '5', 'KG']",Public,314.0,['Elementary']
Teacher Grade 4 (2025-2026) - (25002512),Lockeland Elementary,470318001755,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,105 South 17th St,37206,"['1', '2', '3', '4', '5', 'KG']",Public,314.0,['Elementary']
CTE- Health Science Teacher (2025-2026 School Year),Blackman High School,470369001354,Rutherford County,Career and Technical Education,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,3956 Blaze Dr,37128,"['10', '11', '12', '9']",Public,2194.0,['High']
Possible Growth High School Mathematics Teacher (2025-2026 School Year),Blackman High School,470369001354,Rutherford County,Mathematics,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,3956 Blaze Dr,37128,"['10', '11', '12', '9']",Public,2194.0,['High']
ESL Teacher (2025-2026 School Year),Smyrna High School,470369001988,Rutherford County,English as a Second Language (ESL),School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,100 Bulldog Dr,37167,"['10', '11', '12', '9']",Public,2200.0,['High']
