school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Renaissance High School,470453001031,Franklin,108 Everbright Ave,37064,Williamson County,"['10', '11', '12', '9']",Public,167.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Heritage Elementary,470453001239,Thompson Station,4801 Columbia Pike,37179,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,631.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Kenrose Elementary,470453001240,Brentwood,1702 Raintree PKWY,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,670.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Heritage Middle School,470453001364,Thompson Station,4803 Columbia Pike,37179,Williamson County,"['6', '7', '8']",Public,842.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Westwood Elementary School,470453001369,Fairview,7200 Tiger Trail,37062,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,533.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Bethesda Elementary,470453001801,Thompson Station,4907 Bethesda Rd,37179,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,574.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
College Grove Elementary,470453001802,College Grove,6668 Arno-College Grove,37046,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,768.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Fairview Elementary,470453001803,Fairview,2640 Fairview W Blvd,37062,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,497.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Fairview High School,470453001804,Fairview,2595 Fairview W Blvd,37062,Williamson County,"['10', '11', '12', '9']",Public,719.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Franklin High School,470453001805,Franklin,810 Hillsboro Rd,37064,Williamson County,"['10', '11', '12', '9']",Public,1801.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Fred J Page High School,470453001806,Franklin,6281 Arno Rd,37064,Williamson County,"['10', '11', '12', '9']",Public,1284.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Grassland Elementary,470453001807,Brentwood,6803 Manley Ln,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,501.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Hillsboro Elementary/ Middle School,470453001808,Franklin,5412 Pinewood Rd,37064,Williamson County,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,477.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,"['Elementary', 'Middle']"
Lipscomb Elementary,470453001810,Brentwood,8011 Concord Rd,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,561.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Nolensville Elementary,470453001811,Nolensville,2338 Rocky Fork Rd,37135,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,946.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Brentwood Middle School,470453001812,Brentwood,5324 Murray Ln,37027,Williamson County,"['6', '7', '8']",Public,1127.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Trinity Elementary,470453001814,Franklin,4410 Murfreesboro Rd,37067,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,742.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Scales Elementary,470453001867,Brentwood,6430 Murray Ln,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,777.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Brentwood High School,470453001894,Brentwood,5304 Murray Ln,37027,Williamson County,"['10', '11', '12', '9']",Public,1729.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Fairview Middle School,470453001895,Fairview,7200 Cumberland Dr,37062,Williamson County,"['6', '7', '8']",Public,530.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Fred J Page Middle School,470453001896,Franklin,6262 Arno Rd,37064,Williamson County,"['6', '7', '8']",Public,1249.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Ravenwood High School,470453001946,Brentwood,1724 Wilson Pike,37027,Williamson County,"['10', '11', '12', '9']",Public,1958.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Grassland Middle School,470453001969,Franklin,2390 Hillsboro Rd,37064,Williamson County,"['6', '7', '8']",Public,862.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Crockett Elementary,470453002020,Brentwood,9019 Crockett Rd,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,704.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Walnut Grove Elementary,470453002021,Franklin,326 Stable Rd,37069,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,573.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Winstead Elementary School,470453002027,Franklin,4080 Columbia Pike,37064,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,648.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Chapman's Retreat Elementary,470453002050,Spring Hill,1000 Secluded Ln,37174,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,603.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Independence High School,470453002096,Thompson's Station,1776 Declaration Way,37179,Williamson County,"['10', '11', '12', '9']",Public,2095.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Sunset Elementary School,470453002097,Brentwood,100 Sunset Trail,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,623.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Sunset Middle School,470453002098,Brentwood,200 Sunset Trail,37027,Williamson County,"['6', '7', '8']",Public,655.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Longview Elementary School,470453002139,Spring Hill,2929 Commonwealth Dr,37174,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,969.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Spring Station Middle School,470453002237,Spring Hill,1000 Spring Station Dr,37174,Williamson County,"['6', '7', '8']",Public,828.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Allendale Elementary School,470453002244,Spring Hill,2100 Prescott Way,37174,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,709.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Pearre Creek Elementary School,470453002252,Franklin,1811 Townsend Blvd,37064,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,694.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Summit High School,470453002275,Spring Hill,2830 Twin Lakes Dr,37174,Williamson County,"['10', '11', '12', '9']",Public,1708.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Clovercroft Elementary School,470453002277,Franklin,9336 Clovercroft Rd,37067,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,690.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Nolensville High School,470453002428,Nolensville,1600 Summerlyn Dr,37135,Williamson County,"['10', '11', '12', '9']",Public,1463.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['High']
Mill Creek Elementary School,470453002469,Nolensville,100 York TRL,37135,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,730.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Mill Creek Middle School,470453002472,Nolensville,200 York TRL,37135,Williamson County,"['6', '7', '8']",Public,900.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Thompson's Station Middle School,470453002525,Thompson's Station,2638 Clayton Arnold Rd,37179,Williamson County,"['6', '7', '8']",Public,616.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Middle']
Jordan Elementary School,470453002573,Brentwood,9714 Split Log Rd,37027,Williamson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,611.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Thompson's Station Elementary School,470453002579,Thompson's Station,2640 Clayton Arnold Rd,37179,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,839.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
Creekside Elementary School,470453002587,Franklin,4239 Glossy Hill Rd,37064,Williamson County,"['1', '2', '3', '4', '5', 'KG']",Public,854.0,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,['Elementary']
